,date,open,close
0,2010-01-04,8.149,7.88
1,2010-01-05,7.893,7.743
2,2010-01-06,7.727,7.61
3,2010-01-07,7.61,7.527
4,2010-01-08,7.477,7.511
5,2010-01-11,7.81,7.511
6,2010-01-12,7.501,7.461
7,2010-01-13,7.268,6.966
8,2010-01-14,6.979,6.969
9,2010-01-15,6.986,7.122
10,2010-01-18,7.122,7.135
11,2010-01-19,7.172,7.388
12,2010-01-20,7.384,7.105
13,2010-01-21,7.172,7.537
14,2010-01-22,7.457,7.67
15,2010-01-25,7.511,7.374
16,2010-01-26,7.374,7.328
17,2010-01-27,7.441,7.281
18,2010-01-28,7.245,7.228
19,2010-01-29,7.175,7.212
20,2010-02-01,7.215,7.059
21,2010-02-02,7.065,7.102
22,2010-02-03,7.155,7.504
23,2010-02-04,7.421,7.378
24,2010-02-05,7.185,7.311
25,2010-02-08,7.271,7.165
26,2010-02-09,7.178,7.311
27,2010-02-10,7.378,7.404
28,2010-02-11,7.381,7.348
29,2010-02-12,7.368,7.461
30,2010-02-22,7.414,7.344
31,2010-02-23,7.321,7.162
32,2010-02-24,7.115,7.215
33,2010-02-25,7.202,7.361
34,2010-02-26,7.315,7.461
35,2010-03-02,7.607,7.68
36,2010-03-03,7.68,7.743
37,2010-03-04,7.75,7.677
38,2010-03-05,7.677,7.733
39,2010-03-08,7.75,7.926
40,2010-03-09,7.936,7.916
41,2010-03-10,7.88,7.776
42,2010-03-11,7.826,7.863
43,2010-03-12,7.826,7.62
44,2010-03-15,7.604,7.441
45,2010-03-16,7.441,7.494
46,2010-03-17,7.517,7.707
47,2010-03-18,7.727,7.66
48,2010-03-19,7.66,7.657
49,2010-03-22,7.62,7.693
50,2010-03-23,7.71,7.587
51,2010-03-24,7.594,7.577
52,2010-03-25,7.564,7.411
53,2010-03-26,7.411,7.58
54,2010-03-29,7.63,7.83
55,2010-03-30,7.853,7.86
56,2010-03-31,7.86,7.71
57,2010-04-01,7.733,7.776
58,2010-04-02,7.796,7.786
59,2010-04-06,7.83,7.767
60,2010-04-07,7.76,7.594
61,2010-04-08,7.584,7.501
62,2010-04-09,7.501,7.531
63,2010-04-12,7.551,7.341
64,2010-04-13,7.368,7.444
65,2010-04-14,7.444,7.388
66,2010-04-15,7.404,7.444
67,2010-04-16,7.404,7.315
68,2010-04-19,7.162,6.673
69,2010-04-20,6.686,6.57
70,2010-04-21,6.583,6.69
71,2010-04-22,6.647,6.51
72,2010-04-23,6.527,6.7
73,2010-04-26,6.647,6.627
74,2010-04-27,6.573,6.597
75,2010-04-28,6.56,6.693
76,2010-04-29,6.753,6.703
77,2010-04-30,6.73,6.833
78,2010-05-04,6.68,6.647
79,2010-05-05,6.676,6.613
80,2010-05-06,6.544,6.115
81,2010-05-07,5.992,6.068
82,2010-05-10,6.098,6.125
83,2010-05-11,6.268,5.806
84,2010-05-12,5.749,6.018
85,2010-05-13,5.985,6.208
86,2010-05-14,6.208,6.098
87,2010-05-17,5.982,5.793
88,2010-05-18,5.816,5.972
89,2010-05-19,5.896,5.902
90,2010-05-20,5.839,5.832
91,2010-05-21,5.683,5.922
92,2010-05-24,5.955,6.112
93,2010-05-25,6.048,5.912
94,2010-05-26,5.942,5.949
95,2010-05-27,5.939,6.005
96,2010-05-28,6.065,6.009
97,2010-05-31,5.949,5.819
98,2010-06-01,5.793,5.749
99,2010-06-02,5.733,5.726
100,2010-06-03,5.753,5.723
101,2010-06-04,5.719,5.749
102,2010-06-07,5.683,5.62
103,2010-06-08,5.623,5.55
104,2010-06-09,5.58,5.872
105,2010-06-10,5.739,5.686
106,2010-06-11,5.719,5.699
107,2010-06-18,5.713,5.756
108,2010-06-21,5.753,6.082
109,2010-06-22,6.065,6.158
110,2010-06-23,6.082,6.098
111,2010-06-24,6.082,6.158
112,2010-06-25,6.112,6.018
113,2010-06-28,5.999,6.145
114,2010-06-29,6.158,5.819
115,2010-09-02,6.314,6.045
116,2010-09-03,6.038,5.902
117,2010-09-06,5.935,6.048
118,2010-09-07,6.095,5.995
119,2010-09-08,5.952,5.866
120,2010-09-09,5.866,5.723
121,2010-09-10,5.703,5.716
122,2010-09-13,5.719,5.68
123,2010-09-14,5.699,5.709
124,2010-09-15,5.716,5.623
125,2010-09-16,5.65,5.527
126,2010-09-17,5.54,5.533
127,2010-09-20,5.54,5.55
128,2010-09-21,5.576,5.52
129,2010-09-27,5.53,5.547
130,2010-09-28,5.54,5.404
131,2010-09-29,5.39,5.39
132,2010-10-08,5.55,5.723
133,2010-10-11,5.756,5.995
134,2010-10-12,6.002,5.972
135,2010-10-13,5.979,6.161
136,2010-10-14,6.198,6.095
